Basket,Threshold,Horizon,Best Granger p,Logit p-value,Logit CV AUC,Report Dir
SPX_BTC,-0.03,3,1.1766785123580545e-05,0.4009755252895861,0.477293527033631,reports/grid/SPX_BTC_th3_h3/ANY
SPX_BTC,-0.03,5,5.270622427114445e-06,0.4529205680972549,0.3258130081300813,reports/grid/SPX_BTC_th3_h5/ANY
SPX_BTC,-0.03,10,1.4944978981413637e-10,0.8934711223189666,0.292760668390094,reports/grid/SPX_BTC_th3_h10/ANY
SPX_BTC,-0.02,3,2.5657988569773595e-09,0.3005138909802155,0.5706660522273426,reports/grid/SPX_BTC_th2_h3/ANY
SPX_BTC,-0.02,5,0.0065340782560713,0.4671281283208814,0.4952380952380952,reports/grid/SPX_BTC_th2_h5/ANY
SPX_BTC,-0.02,10,0.0002244247957975,0.3451894102269319,0.4901587301587301,reports/grid/SPX_BTC_th2_h10/ANY
SPX_BTC,-0.01,3,0.3213686732311876,0.6847559973875845,0.323999343832021,reports/grid/SPX_BTC_th1_h3/ANY
SPX_BTC,-0.01,5,0.2358504164101211,0.6192969307392724,0.4042445866141732,reports/grid/SPX_BTC_th1_h5/ANY
SPX_BTC,-0.01,10,0.2863242254185611,0.507448031982793,0.3957595144356955,reports/grid/SPX_BTC_th1_h10/ANY
SPX_GOLD,-0.03,3,0.913592532316087,0.7248440436765663,0.4307306052451684,reports/grid/SPX_GOLD_th3_h3/ANY
SPX_GOLD,-0.03,5,0.830943936029858,0.9972878360448212,0.413237759360489,reports/grid/SPX_GOLD_th3_h5/ANY
SPX_GOLD,-0.03,10,0.9214133441265332,0.4065183068454443,0.4048870948870949,reports/grid/SPX_GOLD_th3_h10/ANY
SPX_GOLD,-0.02,3,0.8960985026399849,0.4954824846494673,0.5325077399380805,reports/grid/SPX_GOLD_th2_h3/ANY
SPX_GOLD,-0.02,5,0.7117905451848034,0.2066300559817856,0.537930192412951,reports/grid/SPX_GOLD_th2_h5/ANY
SPX_GOLD,-0.02,10,0.0656087314838896,0.5400119690915515,0.4742699724517907,reports/grid/SPX_GOLD_th2_h10/ANY
SPX_GOLD,-0.01,3,0.2854539801427861,0.0519801449804803,0.5940802962561531,reports/grid/SPX_GOLD_th1_h3/ANY
SPX_GOLD,-0.01,5,0.7478921591752193,0.0399338093675536,0.6221198156682027,reports/grid/SPX_GOLD_th1_h5/ANY
SPX_GOLD,-0.01,10,0.4800372360697729,0.8944718160041123,0.3437620297462816,reports/grid/SPX_GOLD_th1_h10/ANY
