Date,SPX,GOLD,BTC
2022-02-11,1.5253484891522804,1.9073302007398871,1.6872285378587006
2022-02-14,1.5319312298578787,1.8823587564360842,1.6917478452290882
2022-02-15,1.5307970098323012,1.8599194774354468,1.6541649392461737
2022-02-16,1.5634622168624595,1.806449421865805,1.6375081622510537
2022-02-17,1.5933757141254508,1.8292766505119011,1.5962981922428954
2022-02-18,1.6436147207923484,1.8544923133095825,1.5947441003041751
2022-02-21,1.6830892613219648,1.8567389295380075,1.5764582098998032
2022-02-22,1.7305146405159881,1.8501568982274814,1.604843106731654
2022-02-23,1.7854197174554178,1.829890462322199,1.6277417095182987
2022-02-24,1.8581203026576318,1.7956821477469675,1.6495770332258224
2022-02-25,1.9416778541209387,1.7698797735014529,1.6602987892439671
2022-02-28,1.9798446988431508,1.7487494970979758,1.665834865110168
2022-03-01,1.9771387617205112,1.6744788389722505,1.6788728093396175
2022-03-02,1.9492101938806976,1.6875614614712322,1.6650882810091259
2022-03-03,1.9144168444189504,1.6780628030954692,1.6219390059220449
2022-03-04,1.8970107668016651,1.6361596994565062,1.6266683749945954
2022-03-07,1.8722578002087054,1.6134566345674424,1.6531073378112262
2022-03-08,1.8928376334846952,1.5865647604068527,1.6758943944869371
2022-03-09,1.8878635780957131,1.5626181082028836,1.697958718982529
2022-03-10,1.9029078370980435,1.622209199372062,1.7416338233710225
2022-03-11,1.8803913168918422,1.6394263110752039,1.7865530958487157
2022-03-14,1.8855728701487569,1.665172816414213,1.8183531765165724
2022-03-15,1.8878930490950796,1.671401693103055,1.8372874571592803
2022-03-16,1.9063382637866624,1.6984441067602098,1.8812693517044636
2022-03-17,1.928119626025132,1.7203811247070067,1.8855473714013202
2022-03-18,1.9592472671230177,1.7460828462232043,1.8770653199889826
2022-03-21,1.9815955997105457,1.7417297506846192,1.9299922495195574
2022-03-22,2.0156818931070544,1.7301785296578738,1.9852252985927952
2022-03-23,2.0843672400782913,1.7265853406108245,2.0386877010587616
2022-03-24,2.136831594909903,1.7231915671013875,2.0951628756996463
2022-03-25,2.1292374595588206,1.7236718050078466,2.1428624297856853
2022-03-28,2.06175556223413,1.7070798746850129,2.1083985706666595
2022-03-29,2.0677084906874064,1.7094518963900656,2.081008956337649
2022-03-30,2.0360412015356237,1.7098663744624778,2.0157047240526786
2022-03-31,1.9819695901323777,1.7317567318942344,2.016832506566249
2022-04-01,1.9241228851623844,1.7416178231252895,1.9927644002557676
2022-04-04,1.8549667225754878,1.7713735717701145,2.0040764186082107
2022-04-05,1.7893217760897309,1.793134651557774,1.9578257737069455
2022-04-06,1.7255887740446239,1.825113631624267,1.9411002042705972
2022-04-07,1.6491379777963204,1.8330991261840508,1.8826066358972846
2022-04-08,1.6267489644678421,1.8915255364357855,1.7676559236636582
2022-04-11,1.5970183625166487,1.9332586174157278,1.7464497268510821
2022-04-12,1.5608832591742736,1.9381027799895223,1.7406054841297163
2022-04-13,1.5505083155550838,1.9497315648826923,1.7129228599509956
2022-04-14,1.5383849221165513,1.9461194668143054,1.6594148327381355
2022-04-15,1.5222836892615081,1.9550499824432317,1.6417739251998145
2022-04-18,1.5372396742407288,2.003178924850383,1.6174025747794467
2022-04-19,1.5645790560033686,2.126354547591806,1.58158706329756
2022-04-20,1.6041011774836527,2.2080612511837323,1.5280079813782244
2022-04-21,1.6367771466501106,2.254245390944022,1.5253397768101975
2022-04-22,1.7024556434849119,2.2380055133291408,1.531376938217267
2022-04-25,1.7620931681627285,2.1733485398119106,1.5293387945319008
2022-04-26,1.7915180630292373,2.1212973865892955,1.5256567773321055
2022-04-27,1.842882055488049,2.068377262572798,1.5502369756724301
2022-04-28,1.851406523546991,2.036608191787182,1.5662316801030163
2022-04-29,1.8889887230799063,1.9878593712387345,1.5733536051219885
2022-05-02,1.9334449393311113,1.9575016157222647,1.590831386633262
2022-05-03,1.9156461967946865,1.9356205095294332,1.5891813925224985
2022-05-04,1.8916566882745323,1.8851022848192718,1.5820983464084077
2022-05-05,1.8684783956937814,1.8776934782502694,1.5837592505095404
2022-05-06,1.8632986648582373,1.8256273713943139,1.584420759502115
2022-05-09,1.8356678031379983,1.7527855123604505,1.6339014123754787
2022-05-10,1.8594478538663368,1.7163441645116104,1.7675844143233834
2022-05-11,1.8411851034812308,1.6746314713717656,1.8614992482551336
2022-05-12,1.839442177282039,1.6143468067229916,1.9686079749519545
2022-05-13,1.8114238053831428,1.6153097237564422,2.0453632660971848
2022-05-16,1.8222846044191938,1.596468828294739,2.1207310099142824
2022-05-17,1.801107736804986,1.5980407201932572,2.123816978305591
2022-05-18,1.7878100055235033,1.5745135900855853,2.085410649406126
2022-05-19,1.7753726859860637,1.556573638985397,1.995349078726151
2022-05-20,1.7426555844270948,1.5407029067804536,1.889953979329671
2022-05-23,1.7264162572070925,1.4949294434273712,1.7588586877312067
2022-05-24,1.7148652652057585,1.5134001963899992,1.6542294553177792
2022-05-25,1.7249808896215908,1.5427279407605965,1.5736414051671972
2022-05-26,1.7214542347957908,1.585285168287153,1.4831725942241367
2022-05-27,1.7502428062112072,1.5834470247782486,1.432575071454968
2022-05-30,1.7687744903208966,1.596268140499991,1.3885940048356928
2022-05-31,1.813100548603602,1.6141245705528147,1.40312407003598
2022-06-01,1.8132860688195733,1.635792336442992,1.379693634073215
2022-06-02,1.8097719785696071,1.6434825260200097,1.4048328312194738
2022-06-03,1.8154906483210607,1.6363282363893439,1.407697558295587
2022-06-06,1.8370864086306966,1.6595524368876349,1.4263714173853317
2022-06-07,1.8423265724227695,1.6690590097985023,1.4612637602741114
2022-06-08,1.8604244829049157,1.6910188518669966,1.5235115808877253
2022-06-09,1.8823050776723318,1.6918392721573885,1.6082863405054169
2022-06-10,1.8995238039849582,1.7012126903206375,1.7045895736253902
2022-06-13,1.9269657422496913,1.7431913348719779,1.8134202150867063
2022-06-14,1.9585698304731025,1.840573400371649,1.9668696137291628
2022-06-15,1.9805770300694006,1.9013524980824144,2.122862092081037
2022-06-16,1.9962973253928706,1.9805900812744526,2.26927718020714
2022-06-17,1.995251194799511,2.0563316826580977,2.398653070772766
2022-06-20,1.956577926760047,2.1020132111694707,2.362655950160769
2022-06-21,1.9098258355668698,2.107140020728671,2.3373101968098045
2022-06-22,1.8649984860095712,2.0501740382694345,2.2661388812027576
2022-06-23,1.8020851659509318,2.062675822855573,2.1740757430293116
2022-06-24,1.7425278670825228,2.113082007033345,2.064016176827422
2022-06-27,1.6832652929968326,2.147333730697085,1.886927680414849
2022-06-28,1.5820989678086461,2.1377417403997563,1.7429618085990553
2022-06-29,1.5693434206810948,2.134611074214205,1.6312005866746673
2022-06-30,1.5433325534480846,2.1102248686517173,1.5166173422184455
2022-07-01,1.5181099913768614,2.0848507447541333,1.4473856043203364
2022-07-04,1.4916735514570487,2.053589911837886,1.3885983535039825
2022-07-05,1.4606299127982436,2.0431862157248246,1.3570946773552912
2022-07-06,1.4140644082509048,2.0502525593574727,1.3160138406362316
2022-07-07,1.3698564798664448,2.0677830284241283,1.285088523979351
2022-07-08,1.3868391681566898,2.0581365179070206,1.235874935155126
2022-07-11,1.406886870301054,2.0769728753808883,1.2484610980369584
2022-07-12,1.4489405995981741,2.089275235691788,1.2802148640671003
2022-07-13,1.4938791408035965,2.0885919933717445,1.328484530847779
2022-07-14,1.5567389668943945,2.056609380355658,1.4078554951139297
2022-07-15,1.6323107889961659,2.007215203291806,1.463992845129956
2022-07-18,1.7281583838918977,1.8986042952584294,1.5831313543567997
2022-07-19,1.8239844962777982,1.8107874211539334,1.7278470661373981
2022-07-20,1.91836634489271,1.7087252863966371,1.8861464571912019
2022-07-21,1.9587240555426457,1.6126142094521256,2.0455848688199314
2022-07-22,1.9570063245031273,1.502516875490471,2.1862951791405423
2022-07-25,2.0181451808146598,1.4219601543257845,2.2397872439647917
2022-07-26,2.0701477280351304,1.3624291600173617,2.2894246461080123
2022-07-27,2.059428320832879,1.2704524270745328,2.329202829237626
2022-07-28,2.1834098096931225,1.235581458943889,2.3203209842690913
2022-07-29,2.2760895283067573,1.2589526051117037,2.2757679672358893
2022-08-01,2.349120044060394,1.2781275652175406,2.1963807871016297
2022-08-02,2.3077195375298056,1.312523665011272,2.1159976022018063
2022-08-03,2.254958088162759,1.343273251709444,2.0306083949972926
2022-08-04,2.191848259220554,1.4071862702589102,1.995678236255262
2022-08-05,2.1100243743729887,1.4926117635288778,1.9684226911606006
2022-08-08,2.007210220630262,1.5646831900772769,1.9514749212184825
2022-08-09,1.917282559859234,1.6382825879240392,1.937436454747366
2022-08-10,1.8188071191342527,1.6836761794625545,1.910064240925069
2022-08-11,1.7331064814198929,1.7228505200581978,1.8879429703216637
2022-08-12,1.6789004659059004,1.740258374475372,1.8620667664556985
2022-08-15,1.6412794936643507,1.7175563328177081,1.8799305710008698
2022-08-16,1.6086404251623512,1.6838836592077202,1.8950060043004981
2022-08-17,1.573877179879155,1.6498886685679086,1.9184221540974258
2022-08-18,1.5645997843847939,1.6266749623855319,1.9416907457562314
2022-08-19,1.5317160482106844,1.5955474942671155,1.9102202912890303
2022-08-22,1.5329223988524228,1.563545998043193,2.004779264117786
2022-08-23,1.5541372534938027,1.5320277068161163,2.074806639688589
2022-08-24,1.5703335123916307,1.4888903329767413,2.1120042704321382
2022-08-25,1.5763139887327604,1.4841549323243337,2.144033340565741
2022-08-26,1.588256574481857,1.5040830770401719,2.1540388863168762
2022-08-29,1.6219181208748512,1.5476745849213995,2.1771287687344443
2022-08-30,1.6330181564264845,1.5721896676026592,2.136340779964396
2022-08-31,1.6663250121983295,1.6134922033868686,2.114350162539709
2022-09-01,1.677504153845333,1.6423365037814375,2.033446627977208
2022-09-02,1.7195032098805803,1.680043754255192,1.9235180938827814
2022-09-05,1.7453300750029268,1.7243380016427539,1.8822510719605772
2022-09-06,1.741078480637633,1.7487862869834876,1.7982069072795086
2022-09-07,1.7304726514306152,1.7455666466977697,1.7232288441667198
2022-09-08,1.7250500920617313,1.7415156554395983,1.6605556081244925
2022-09-09,1.6858254298009958,1.7149924188336612,1.5673834428977702
2022-09-12,1.665378279246846,1.6885351217296403,1.5624509214872955
2022-09-13,1.6322252232362997,1.6401770107923774,1.559150008963379
2022-09-14,1.652026234662226,1.5995369147480385,1.6041405109658466
2022-09-15,1.6349431422314145,1.584141786203503,1.5812725729898152
2022-09-16,1.6244500534544863,1.584259604807611,1.5891670261097637
2022-09-19,1.600490867357058,1.6119029708815147,1.5890782580860057
2022-09-20,1.560263056101969,1.655157636836878,1.5752768526414611
2022-09-21,1.5606809486094584,1.693685964389463,1.6128655597377193
2022-09-22,1.541409252973662,1.7138204615287707,1.6369737255620582
2022-09-23,1.5784512097184875,1.729141409662903,1.698548284333484
2022-09-26,1.6416721481957601,1.7671615170557156,1.7484730932180061
2022-09-27,1.7074838176367415,1.790703410562991,1.80258281300263
2022-09-28,1.7801131539378128,1.8057490487377508,1.8443698837626052
2022-09-29,1.849665247967814,1.8447803322013276,1.8635005228434967
2022-09-30,1.9168383621779208,1.8643201611355102,1.8595458422685498
2022-10-03,1.9701054689991016,1.8314695654687763,1.894497910997759
