Date,C
2022-06-30,1.666481507471595
2022-07-01,1.6669937558438315
2022-07-04,1.6657468733141494
2022-07-05,1.6659845885533846
2022-07-06,1.6682443284223454
2022-07-07,1.6699409521514497
2022-07-08,1.6685700932216072
2022-07-11,1.6693054518392574
2022-07-12,1.6713761965250205
2022-07-13,1.6738532237678982
2022-07-14,1.6752533722240672
2022-07-15,1.674586810152252
2022-07-18,1.671978132521577
2022-07-19,1.6682226982287367
2022-07-20,1.665902721436671
2022-07-21,1.6657494416457612
2022-07-22,1.6691768261629114
2022-07-25,1.675983526339282
2022-07-26,1.6837108737284816
2022-07-27,1.6928310852151336
2022-07-28,1.701030145668466
2022-07-29,1.7072793042177263
2022-08-01,1.7122186965163892
2022-08-02,1.7156478627239231
2022-08-03,1.7181355671729042
2022-08-04,1.7196542907115826
2022-08-05,1.7204774415908093
2022-08-08,1.7209768413337825
2022-08-09,1.721396411755113
2022-08-10,1.7220545530163895
2022-08-11,1.7230381680991538
2022-08-12,1.7241092635233186
2022-08-15,1.7248315070625229
2022-08-16,1.7255788149307998
2022-08-17,1.7262611985305603
2022-08-18,1.727015046945649
2022-08-19,1.7275748102010426
2022-08-22,1.7284713154587095
2022-08-23,1.7294559099835363
2022-08-24,1.7303330579499714
2022-08-25,1.730977321631213
2022-08-26,1.7313337999072984
2022-08-29,1.7313397696433759
2022-08-30,1.7310428493759344
2022-08-31,1.7306476956871384
2022-09-01,1.7302692332648457
2022-09-02,1.7299962623304777
2022-09-05,1.7297807609512499
2022-09-06,1.7296303189365752
2022-09-07,1.729729017145139
2022-09-08,1.7299374133639338
2022-09-09,1.7302227384996791
2022-09-12,1.7302921136494975
2022-09-13,1.7298108795441478
2022-09-14,1.7289686630468624
2022-09-15,1.727596161946945
2022-09-16,1.725802296553087
2022-09-19,1.7237285618155163
2022-09-20,1.7213876523080738
2022-09-21,1.719332837582121
2022-09-22,1.7174490004284126
2022-09-23,1.7160732913130745
2022-09-26,1.7155338048561048
2022-09-27,1.7154382036311493
2022-09-28,1.7152412132436203
2022-09-29,1.7144024960640607
2022-09-30,1.7129306711441519
2022-10-03,1.7108204080858833
2022-10-04,1.7072107974632358
2022-10-05,1.7024280302565935
2022-10-06,1.6981172343717654
2022-10-07,1.696457012131276
2022-10-10,1.6977389531434075
2022-10-11,1.700455376164596
2022-10-12,1.7034478959846386
2022-10-13,1.7066455937369172
2022-10-14,1.7091904523181838
2022-10-17,1.7109262182237195
2022-10-18,1.7113589982974544
2022-10-19,1.7112837512169379
2022-10-20,1.7109024467280518
2022-10-21,1.7105400939092692
2022-10-24,1.709334071850214
2022-10-25,1.707449784713428
2022-10-26,1.7047304879740444
2022-10-27,1.7015379249191125
2022-10-28,1.6980073050133144
2022-10-31,1.6951669703237622
2022-11-01,1.6944985812854787
2022-11-02,1.696867830180347
2022-11-03,1.7040898642423037
2022-11-04,1.7132864904493488
2022-11-07,1.7193219967292914
2022-11-08,1.723074471454741
2022-11-09,1.7243407837199363
2022-11-10,1.7246142012578773
2022-11-11,1.7245913206910088
2022-11-14,1.7244359263580786
2022-11-15,1.7235715980772763
2022-11-16,1.7217698118858764
2022-11-17,1.718490692963301
2022-11-18,1.7145509506302832
2022-11-21,1.7117214615232605
2022-11-22,1.7101839669231846
2022-11-23,1.7101774738817117
2022-11-24,1.71042128782858
2022-11-25,1.710520997699113
2022-11-28,1.7086294010685823
2022-11-29,1.7014560896210869
2022-11-30,1.6848113401911953
2022-12-01,1.6546101214560063
2022-12-02,1.617396967586179
2022-12-05,1.5854016416353516
2022-12-06,1.56829674618933
2022-12-07,1.5597469123872523
2022-12-08,1.5547044309783196
2022-12-09,1.5556807201893248
2022-12-12,1.5617011428997467
2022-12-13,1.5753544875478138
2022-12-14,1.610456820919705
2022-12-15,1.6684517581855225
2022-12-16,1.7075282043403865
2022-12-19,1.6735913297155767
2022-12-20,1.6491558009669698
2022-12-21,1.6562740703734693
2022-12-22,1.668947127533782
2022-12-23,1.678803193006901
2022-12-26,1.6845300739723903
2022-12-27,1.68737207265695
2022-12-28,1.6893982395793303
2022-12-29,1.6914204159482331
2022-12-30,1.6938707284697434
2023-01-02,1.6959048257987714
2023-01-03,1.696708028994108
2023-01-04,1.6964814559608183
2023-01-05,1.6949029921024863
2023-01-06,1.6914770301594078
2023-01-09,1.6848543337234378
2023-01-10,1.6744174512677348
2023-01-11,1.6646954326588512
2023-01-12,1.655068801061815
2023-01-13,1.645239961314552
2023-01-16,1.6349829344304894
2023-01-17,1.6264373007903603
2023-01-18,1.6207499996502979
2023-01-19,1.6220999045883098
2023-01-20,1.6264882292278184
2023-01-23,1.6385031131369716
2023-01-24,1.6530677715573063
2023-01-25,1.6631889159729425
2023-01-26,1.6651630106444486
2023-01-27,1.6595271956404043
2023-01-30,1.6495364971757354
2023-01-31,1.6368533947169872
2023-02-01,1.6235190534213546
2023-02-02,1.6099092266942907
2023-02-03,1.595065000535756
2023-02-06,1.5811532451593293
2023-02-07,1.5678717570069376
2023-02-08,1.5555043556266537
2023-02-09,1.544553987841123
2023-02-10,1.5369748209741343
2023-02-13,1.5306786538846249
2023-02-14,1.5264077122073771
2023-02-15,1.5255931240649088
2023-02-16,1.5279554963686928
2023-02-17,1.5300138759805404
2023-02-20,1.531254090942377
2023-02-21,1.5308104805082465
2023-02-22,1.528986752150307
2023-02-23,1.5285134039104253
2023-02-24,1.5310728441674375
2023-02-27,1.5360546401116346
2023-02-28,1.543299165158766
2023-03-01,1.5533667779765854
2023-03-02,1.5660546123721824
2023-03-03,1.5780149783748767
2023-03-06,1.5878774022525848
2023-03-07,1.5959963944785496
2023-03-08,1.6016126288168895
2023-03-09,1.6034232958075
2023-03-10,1.6060277395312277
2023-03-13,1.6079925101818286
2023-03-14,1.6069704300452021
2023-03-15,1.6017478840650599
2023-03-16,1.5920053811149322
2023-03-17,1.5794284242668593
2023-03-20,1.563420047149914
2023-03-21,1.547093898626002
2023-03-22,1.5314300682291437
2023-03-23,1.5179943781990677
2023-03-24,1.506036173515791
2023-03-27,1.4982898473219006
2023-03-28,1.4950588161140297
2023-03-29,1.4935490521296853
2023-03-30,1.4919310931703254
2023-03-31,1.4924451016238491
2023-04-03,1.4946636157222029
2023-04-04,1.496250193633635
2023-04-05,1.497749871239979
2023-04-06,1.4995701796338021
2023-04-07,1.4981881863576447
2023-04-10,1.494107788380686
2023-04-11,1.4894697947066344
2023-04-12,1.4878904107903441
2023-04-13,1.4896446689287879
2023-04-14,1.4930195498215801
2023-04-17,1.4995768892036794
2023-04-18,1.5066097782184464
2023-04-19,1.5102294528797053
2023-04-20,1.5055665949016794
2023-04-21,1.495651678603791
2023-04-24,1.480852082330021
2023-04-25,1.4682745522146419
2023-04-26,1.4589618317785846
2023-04-27,1.454932488221845
2023-04-28,1.4541803202316537
2023-05-01,1.4544377796551928
2023-05-02,1.4555035628327162
2023-05-03,1.456496890219266
2023-05-04,1.457215080456646
2023-05-05,1.4571891577634142
2023-05-08,1.4536435567690293
2023-05-09,1.4469571388523967
2023-05-10,1.4382987052879908
2023-05-11,1.4288427086748
2023-05-12,1.4224759220640593
2023-05-15,1.4196859874638015
2023-05-16,1.4190063363490157
2023-05-17,1.4200322930148288
2023-05-18,1.4222571237350667
2023-05-19,1.4247254587317824
2023-05-22,1.42812561932641
2023-05-23,1.4323693918652343
2023-05-24,1.4365289401869465
2023-05-25,1.4420152044823347
2023-05-26,1.4476523907254304
2023-05-29,1.4530414610316762
2023-05-30,1.4597427966860776
2023-05-31,1.4645599798341125
2023-06-01,1.4676860947246655
2023-06-02,1.4719653376507866
2023-06-05,1.4778137098417305
2023-06-06,1.4834160181992906
2023-06-07,1.4891883892744016
2023-06-08,1.4924612702681253
2023-06-09,1.4951633044835655
2023-06-12,1.4905664509913075
2023-06-13,1.4838602263016898
2023-06-14,1.4817190505820594
2023-06-15,1.4841236138966087
2023-06-16,1.4872088265153853
2023-06-19,1.4864446754980127
2023-06-20,1.4782253116893842
2023-06-21,1.4621616713978451
2023-06-22,1.4386578255342224
2023-06-23,1.4196947884869306
2023-06-26,1.4165087834523789
2023-06-27,1.4413146770146794
2023-06-28,1.4906329328536183
2023-06-29,1.551758575295988
2023-06-30,1.6039638291466394
2023-07-03,1.642346010191499
2023-07-04,1.663249819390356
2023-07-05,1.6786317273217997
2023-07-06,1.6885982498326144
2023-07-07,1.6941964614406624
2023-07-10,1.696227069860055
2023-07-11,1.6953099272069596
2023-07-12,1.691225663623159
2023-07-13,1.686292889699255
2023-07-14,1.6808552920828184
2023-07-17,1.6742747589290121
2023-07-18,1.668349320722361
2023-07-19,1.6604536963890637
2023-07-20,1.6532448544787806
2023-07-21,1.6464779586451983
2023-07-24,1.6381955665393708
2023-07-25,1.6308015619306238
2023-07-26,1.6236154120895192
2023-07-27,1.6207998550607232
2023-07-28,1.62188259510437
