Date,QMI_SPX_GOLD,QMI_SPX_BTC,QMI_GOLD_BTC
2022-06-30,0.030541404995755972,0.056520517981380025,0.00034882944478142885
2022-07-01,0.033082254959524215,0.060474098127297204,5.927748376244324e-05
2022-07-04,0.03576134775333828,0.06598429078642254,1.3514251836488356e-05
2022-07-05,0.03888649613185591,0.07192472381027226,0.0002217550331609086
2022-07-06,0.04320027054017983,0.07916943792392062,0.0007661830313859808
2022-07-07,0.04760118029862359,0.0872184419523151,0.0016843439975107177
2022-07-08,0.05087586808230515,0.09598151646789699,0.0028897408173754746
2022-07-11,0.05433233808535243,0.10383958936439397,0.004395037376813016
2022-07-12,0.057667734295616335,0.11039253247017511,0.006102602571558924
2022-07-13,0.06062679838628826,0.11559190969423438,0.007819535900863928
2022-07-14,0.06257286826387753,0.11940836863962745,0.009172459663300159
2022-07-15,0.06324408088741817,0.12272786183181006,0.01015295701698915
2022-07-18,0.06277677813704452,0.1253478609465929,0.010499229922453002
2022-07-19,0.061448695097698236,0.1275795782264335,0.01077339446742831
2022-07-20,0.061043112459263194,0.13049238420406084,0.011452129037780812
2022-07-21,0.06153192160516685,0.13466531484813649,0.013366844261604616
2022-07-22,0.06215326420990486,0.1381400760030661,0.01732997531564695
2022-07-25,0.0644778480189735,0.14227171143110395,0.022910814973266413
2022-07-26,0.06786217821291829,0.14770560952633294,0.030172502329971262
2022-07-27,0.07126638246626893,0.15159999718118145,0.039724920115845275
2022-07-28,0.07839512888450617,0.1579609695409412,0.04903654333313734
2022-07-29,0.08774548518418412,0.16452939098356356,0.05654277090808679
2022-08-01,0.09818564929690365,0.16908934204470327,0.06177558811382233
2022-08-02,0.10698772688041225,0.17126795382890259,0.06521610071998607
2022-08-03,0.11423856692067547,0.1712226639145793,0.06699368105227366
2022-08-04,0.11939381025037532,0.17107031509363602,0.0682704170468933
2022-08-05,0.12253291624799545,0.17120776651717595,0.06928855038930859
2022-08-08,0.12405272171765613,0.17100854710599822,0.0700757982801834
2022-08-09,0.12459252833191914,0.17002014368456253,0.07057564243141878
2022-08-10,0.12485157480303632,0.16746710274750676,0.0709478848292091
2022-08-11,0.12520175677114564,0.16307316414085427,0.07126277042542184
2022-08-12,0.1254724937691447,0.15765060520296315,0.07155073614074714
2022-08-15,0.12410726728534582,0.15247315541993467,0.07149145445576888
2022-08-16,0.12168118482150658,0.1465829289670273,0.07158075205342207
2022-08-17,0.11765405900653925,0.14045975124799426,0.07178655220511754
2022-08-18,0.11323401789857224,0.13413783555015446,0.07233553336205434
2022-08-19,0.1075897388539816,0.1285774183562567,0.07277161449526282
2022-08-22,0.10156952794985641,0.12177453003986327,0.07428510325619375
2022-08-23,0.09554667581015752,0.11487206371478265,0.0766207705576174
2022-08-24,0.08929654635420048,0.10856888715436641,0.07987902138730807
2022-08-25,0.08337676258805415,0.10250625362952637,0.08327578856871132
2022-08-26,0.0780253558307884,0.096195858512782,0.08618591048171287
2022-08-29,0.07381609472634398,0.09083394288558866,0.08858017606460777
2022-08-30,0.07017946310354994,0.08673648884733909,0.09045765164858388
2022-08-31,0.06738174306010836,0.08357724912077069,0.09156722911744164
2022-09-01,0.06511766612873349,0.08101295200709457,0.09187245850382808
2022-09-02,0.06335762717540105,0.07956441434692096,0.09162562299157273
2022-09-05,0.06153042648409146,0.07832225784191027,0.09076533790401198
2022-09-06,0.05925692632603863,0.07737223127913506,0.08894151531387007
2022-09-07,0.057351586662159004,0.07678905117462709,0.08579846546562775
2022-09-08,0.05600113024324749,0.0767852318185347,0.0821676862919507
2022-09-09,0.05579083430060772,0.07790363860222627,0.07793358328609479
2022-09-12,0.05643433850854929,0.07985020222923223,0.07355990999526796
2022-09-13,0.0568733851853237,0.08246641221017437,0.06879792539164797
2022-09-14,0.05786120061412059,0.08530399348335571,0.06465894280409301
2022-09-15,0.058500969509846734,0.08835412486877947,0.06057273389911977
2022-09-16,0.05935483505699901,0.09199877895956698,0.05703293240962659
2022-09-19,0.060806134393379674,0.0965039289559746,0.05421915680389833
2022-09-20,0.062037461290374685,0.1012579639881186,0.05190640892789944
2022-09-21,0.06304552647326478,0.10544354471424344,0.05040556349833247
2022-09-22,0.06397890784447569,0.1091741349777906,0.04915320213696539
2022-09-23,0.06485789173176104,0.11220602693873039,0.04846101914423484
2022-09-26,0.06542415502708576,0.11384266062370674,0.0484298668836729
2022-09-27,0.06571945825971603,0.11434148705700076,0.04844135608668165
2022-09-28,0.065404428908854,0.11422239932656408,0.0482326968736011
2022-09-29,0.06418580730054779,0.11388068950052743,0.04744149210661108
2022-09-30,0.06231302642466985,0.11372811094281365,0.04640933283231519
2022-10-03,0.06039850773665889,0.11402691734035342,0.044987371993828074
2022-10-04,0.05791868171715053,0.11533901397884616,0.043139843172836034
2022-10-05,0.05556684694419756,0.11730846229937275,0.04083158334250159
2022-10-06,0.05410211135258436,0.11906178536932344,0.03868104083203283
2022-10-07,0.05404606114107369,0.11981875986139212,0.0375160590983844
2022-10-10,0.05491116171756094,0.11964654329570545,0.03789212429103217
2022-10-11,0.055926731159564924,0.11868894276863351,0.03920374497862822
2022-10-12,0.056717750382224486,0.11757388986242812,0.04117310604794011
2022-10-13,0.05733897201362681,0.11617278701923806,0.04364841712061973
2022-10-14,0.05784855199265426,0.11616703665118311,0.04688418115468529
2022-10-17,0.0584082912607925,0.11783865595901255,0.05064037696582924
2022-10-18,0.05855225428969102,0.12111357501279918,0.05427171689355981
2022-10-19,0.05894011162315593,0.12568807968859042,0.0580044660442387
