Date,C
2022-06-30,0.0
2022-07-01,0.0005122483722366233
2022-07-04,-0.0012468825296823027
2022-07-05,0.00023771523923521443
2022-07-06,0.002259739868960775
2022-07-07,0.0016966237291042852
2022-07-08,-0.0013708589298424556
2022-07-11,0.0007353586176501725
2022-07-12,0.0020707446857630707
2022-07-13,0.002477027242877794
2022-07-14,0.0014001484561689814
2022-07-15,-0.0006665620718151466
2022-07-18,-0.0026086776306750714
2022-07-19,-0.0037554342928403095
2022-07-20,-0.0023199767920656367
2022-07-21,-0.00015327979090984378
2022-07-22,0.0034273845171501893
2022-07-25,0.006806700176370528
2022-07-26,0.007727347389199668
2022-07-27,0.009120211486651986
2022-07-28,0.008199060453332407
2022-07-29,0.006249158549260336
2022-08-01,0.004939392298662915
2022-08-02,0.0034291662075338625
2022-08-03,0.002487704448981054
2022-08-04,0.0015187235386784348
2022-08-05,0.0008231508792266862
2022-08-08,0.0004993997429731944
2022-08-09,0.00041957042133056177
2022-08-10,0.0006581412612765014
2022-08-11,0.0009836150827642332
2022-08-12,0.0010710954241648363
2022-08-15,0.0007222435392042481
2022-08-16,0.0007473078682769252
2022-08-17,0.0006823835997606942
2022-08-18,0.0007538484150884095
2022-08-19,0.0005597632553937526
2022-08-22,0.0008965052576670463
2022-08-23,0.0009845945248267984
2022-08-24,0.0008771479664348991
2022-08-25,0.0006442636812415969
2022-08-26,0.0003564782760854257
2022-08-29,5.969736077693355e-06
2022-08-30,-0.0002969202674416582
2022-08-31,-0.00039515368879605717
2022-09-01,-0.0003784624222928912
2022-09-02,-0.00027297093436784436
2022-09-05,-0.0002155013792275451
2022-09-06,-0.00015044201467495633
2022-09-07,9.869820856378553e-05
2022-09-08,0.0002083962187948707
2022-09-09,0.0002853251357453068
2022-09-12,6.937514981841808e-05
2022-09-13,-0.000481234105349726
2022-09-14,-0.0008422164972854418
2022-09-15,-0.001372501099917267
2022-09-16,-0.0017938653938580629
2022-09-19,-0.002073734737570554
2022-09-20,-0.002340909507442701
2022-09-21,-0.0020548147259527028
2022-09-22,-0.0018838371537084342
2022-09-23,-0.0013757091153383527
2022-09-26,-0.0005394864569694402
2022-09-27,-9.56012249555549e-05
2022-09-28,-0.00019699038752896136
2022-09-29,-0.0008387171795596338
2022-09-30,-0.0014718249199086042
2022-10-03,-0.002110263058269002
2022-10-04,-0.003609610622647308
2022-10-05,-0.00478276720664228
2022-10-06,-0.004310795884828078
2022-10-07,-0.0016602222404893396
2022-10-10,0.0012819410121314156
2022-10-11,0.0027164230211884632
2022-10-12,0.0029925198200426717
2022-10-13,0.0031976977522785166
2022-10-14,0.002544858581266629
2022-10-17,0.0017357659055359242
2022-10-18,0.0004327800737347065
2022-10-19,-7.524708051631634e-05
2022-10-20,-0.00038130448888629154
2022-10-21,-0.0003623528187826075
2022-10-24,-0.0012060220590552895
2022-10-25,-0.0018842871367859004
2022-10-26,-0.0027192967393836476
2022-10-27,-0.003192563054931874
2022-10-28,-0.0035306199057980603
2022-10-31,-0.0028403346895522485
2022-11-01,-0.000668389038283479
2022-11-02,0.0023692488948683366
2022-11-03,0.00722203406195665
2022-11-04,0.009196626207045089
2022-11-07,0.006035506279942648
2022-11-08,0.003752474725449595
2022-11-09,0.0012663122651954684
2022-11-10,0.0002734175379406345
2022-11-11,-2.288056686827744e-05
2022-11-14,-0.00015539433293021432
2022-11-15,-0.0008643282808022956
2022-11-16,-0.0018017861913999234
2022-11-17,-0.0032791189225753747
2022-11-18,-0.003939742333017859
2022-11-21,-0.0028294891070228534
2022-11-22,-0.001537494600075684
2022-11-23,-6.493041472932504e-06
2022-11-24,0.00024381394686834312
2022-11-25,9.970987053287139e-05
2022-11-28,-0.001891596630530623
2022-11-29,-0.007173311447495445
2022-11-30,-0.01664474942989158
2022-12-01,-0.030201218735188773
2022-12-02,-0.03721315386982749
2022-12-05,-0.031995325950827436
2022-12-06,-0.017104895446021562
2022-12-07,-0.008549833802077522
2022-12-08,-0.005042481408932931
2022-12-09,0.0009762892110052324
2022-12-12,0.006020422710421913
2022-12-13,0.013653344648067112
2022-12-14,0.03510233337189117
2022-12-15,0.0579949372658175
2022-12-16,0.03907644615486383
2022-12-19,-0.03393687462480943
2022-12-20,-0.024435528748607105
2022-12-21,0.007118269406499511
2022-12-22,0.01267305716031264
2022-12-23,0.009856065473119013
2022-12-26,0.005726880965489345
2022-12-27,0.00284199868455981
2022-12-28,0.0020261669223802237
2022-12-29,0.002022176368902784
2022-12-30,0.0024503125215102894
2023-01-02,0.0020340973290280395
2023-01-03,0.0008032031953366658
2023-01-04,-0.00022657303328976752
2023-01-05,-0.0015784638583320465
2023-01-06,-0.003425961943078537
2023-01-09,-0.00662269643596991
2023-01-10,-0.010436882455703067
2023-01-11,-0.009722018608883554
2023-01-12,-0.00962663159703614
2023-01-13,-0.009828839747263007
2023-01-16,-0.010257026884062714
2023-01-17,-0.008545633640129058
2023-01-18,-0.0056873011400622175
2023-01-19,0.0013499049380116812
2023-01-20,0.004388324639508667
2023-01-23,0.012014883909153173
2023-01-24,0.01456465842033472
2023-01-25,0.010121144415636163
2023-01-26,0.0019740946715061103
2023-01-27,-0.005635815004044309
2023-01-30,-0.009990698464668935
2023-01-31,-0.012683102458748152
2023-02-01,-0.013334341295632601
2023-02-02,-0.0136098267270639
2023-02-03,-0.014844226158534646
2023-02-06,-0.01391175537642697
2023-02-07,-0.013281488152391496
2023-02-08,-0.012367401380283916
2023-02-09,-0.010950367785530712
2023-02-10,-0.007579166866988674
2023-02-13,-0.006296167089509419
